year,doi,title,authors,number.authors,citations,source.pages.count
1998,10.1088/0031-9155/43/7/008,"Design, construction and use of a large-sample field-cycled PEDRI imager","Lurie, DJ ; Foster, MA ; Yeung, D ; Hutchison, JMS",4,70,10
1998,10.1088/0031-9155/43/7/009,Dynamic nuclear polarization at very low magnetic fields,"Guiberteau, T ; Grucker, D",2,13,6
1998,10.1088/0031-9155/43/7/010,The application of PEDRI to the study of free radicals in vivo,"Foster, MA ; Seimenis, I ; Lurie, DJ",3,19,5
1998,10.1088/0031-9155/43/7/011,Nitroxide free radical clearance in the live rat monitored by radio-frequency CW-EPR and PEDRI,"Alecci, M ; Seimenis, I ; McCallum, SJ ; Lurie, DJ ; Foster, MA",5,26,7
1998,10.1088/0031-9155/43/7/012,Electron paramagnetic resonance and dynamic nuclear polarization of char suspensions: surface science and oximetry,"Clarkson, RB ; Odintsov, BM ; Ceroke, PJ ; Ardenkjaer-Larsen, JH ; Fruianu, M ; Belford, RL",6,51,14
1998,10.1088/0031-9155/43/7/013,pH-sensitive imaging by low-frequency EPR: a model study for biological applications,"Sotgiu, A ; Mader, K ; Placidi, G ; Colacicchi, S ; Ursini, CL ; Alecci, M",6,36,10
1998,10.1088/0031-9155/43/7/014,Pharmaceutical applications of in vivo EPR,"Mader, K",1,26,5
1998,10.1088/0031-9155/43/7/015,Current status of electron spin resonance (ESR) for in vivo detection of free radicals,"Quaresima, V ; Ferrari, M",2,17,11
1998,10.1088/0031-9155/43/7/016,Nitric oxide: prospects and perspectives of in vivo detection by L-band EPR spectroscopy,"Fujii, H ; Berliner, LJ",2,15,8
1998,10.1088/0031-9155/43/7/017,The measurement of oxygen in vivo using EPR techniques,"Swartz, HM ; Clarkson, RB",2,196,19
1998,10.1088/0031-9155/43/7/018,Recent developments in spin labelling,"Marsh, D ; Livshits, VA",2,5,10
1998,10.1088/0031-9155/43/7/019,The design of spin probes for electron magnetic resonance spectroscopy and imaging,"Sutcliffe, LH",1,12,7
